lh.aparc.area,lh_bankssts_area,lh_caudalanteriorcingulate_area,lh_caudalmiddlefrontal_area,lh_cuneus_area,lh_entorhinal_area,lh_fusiform_area,lh_inferiorparietal_area,lh_inferiortemporal_area,lh_isthmuscingulate_area,lh_lateraloccipital_area,lh_lateralorbitofrontal_area,lh_lingual_area,lh_medialorbitofrontal_area,lh_middletemporal_area,lh_parahippocampal_area,lh_paracentral_area,lh_parsopercularis_area,lh_parsorbitalis_area,lh_parstriangularis_area,lh_pericalcarine_area,lh_postcentral_area,lh_posteriorcingulate_area,lh_precentral_area,lh_precuneus_area,lh_rostralanteriorcingulate_area,lh_rostralmiddlefrontal_area,lh_superiorfrontal_area,lh_superiorparietal_area,lh_superiortemporal_area,lh_supramarginal_area,lh_frontalpole_area,lh_temporalpole_area,lh_transversetemporal_area,lh_insula_area,lh_WhiteSurfArea_area
sub-fsm64ps,984.0,466.0,1659.0,1336.0,375.0,2562.0,4106.0,3120.0,751.0,3942.0,2342.0,2152.0,1720.0,2648.0,548.0,1125.0,1274.0,507.0,1048.0,1072.0,3052.0,985.0,3985.0,2963.0,585.0,4625.0,5681.0,4602.0,2953.0,2551.0,232.0,485.0,354.0,2149.0,68939.6
sub-fsm66oo,1234.0,1021.0,2136.0,1365.0,528.0,3546.0,4898.0,3458.0,933.0,4453.0,2649.0,2385.0,1837.0,3151.0,668.0,1280.0,1622.0,630.0,1402.0,1054.0,4108.0,1257.0,4890.0,3991.0,1102.0,5274.0,6398.0,5637.0,3897.0,4014.0,239.0,493.0,453.0,2765.0,84766.5
sub-fsm67lq,853.0,603.0,1960.0,1270.0,486.0,2540.0,3887.0,3055.0,984.0,4045.0,2705.0,3048.0,1582.0,2827.0,730.0,1352.0,1437.0,650.0,1519.0,1433.0,3439.0,1038.0,4225.0,3111.0,663.0,4914.0,7061.0,5204.0,3358.0,3427.0,267.0,434.0,363.0,2119.0,76591.0
sub-fsm70qy,1200.0,580.0,2032.0,1417.0,463.0,3090.0,4218.0,3958.0,1044.0,4805.0,2841.0,3335.0,1688.0,3380.0,603.0,1267.0,1602.0,700.0,1239.0,1515.0,3441.0,1195.0,4416.0,3602.0,732.0,5607.0,7271.0,4790.0,3671.0,3795.0,286.0,477.0,459.0,2418.0,83136.8
sub-fsm76cw,957.0,579.0,2253.0,1585.0,372.0,2777.0,4444.0,3404.0,910.0,4984.0,2528.0,3398.0,1851.0,3177.0,607.0,1236.0,1815.0,640.0,1497.0,1755.0,3862.0,1118.0,4391.0,3533.0,801.0,5125.0,6592.0,4535.0,3750.0,3729.0,242.0,450.0,428.0,2400.0,81724.7
sub-fsm79bf,987.0,673.0,1968.0,1410.0,382.0,2586.0,3672.0,2913.0,865.0,5224.0,2727.0,2558.0,1991.0,2846.0,495.0,1300.0,1399.0,773.0,1120.0,1091.0,4159.0,1098.0,4693.0,3513.0,978.0,5272.0,6892.0,5064.0,3862.0,3235.0,263.0,463.0,457.0,2183.0,79112.1
sub-fsm84zy,1006.0,679.0,2818.0,1630.0,304.0,2688.0,4984.0,3741.0,1108.0,5061.0,3003.0,2570.0,2388.0,3892.0,701.0,1434.0,2418.0,830.0,1721.0,1271.0,4370.0,1385.0,5005.0,4310.0,1033.0,6277.0,8131.0,5302.0,4373.0,4045.0,308.0,471.0,462.0,2458.0,92176.6
sub-fsm85fp,1157.0,806.0,2205.0,1742.0,335.0,3425.0,5781.0,4220.0,1095.0,5674.0,3332.0,3713.0,1995.0,4245.0,702.0,1368.0,1514.0,942.0,1487.0,1876.0,4286.0,1007.0,5087.0,4906.0,1295.0,6363.0,7876.0,6327.0,4439.0,4502.0,287.0,552.0,454.0,2985.0,97977.5
sub-fsm87qb,1034.0,481.0,2207.0,1281.0,410.0,2754.0,4083.0,3064.0,918.0,4380.0,2262.0,3090.0,1759.0,2700.0,590.0,1192.0,1315.0,601.0,985.0,1351.0,3660.0,1033.0,4250.0,2942.0,658.0,4091.0,6357.0,4703.0,3356.0,3720.0,253.0,426.0,395.0,1949.0,74251.9
sub-fsm90ao,1020.0,532.0,1421.0,876.0,328.0,2477.0,4148.0,3348.0,813.0,3775.0,2225.0,2028.0,1757.0,2894.0,670.0,999.0,1310.0,614.0,1055.0,836.0,3344.0,868.0,4075.0,2984.0,677.0,4158.0,5886.0,4341.0,3242.0,3527.0,247.0,381.0,394.0,1835.0,69083.9
sub-fsm93cs,1138.0,599.0,2709.0,1144.0,347.0,2874.0,3981.0,3986.0,1114.0,4505.0,2808.0,2688.0,1759.0,3320.0,661.0,1409.0,1464.0,702.0,1334.0,1238.0,4482.0,1300.0,4733.0,3568.0,826.0,6250.0,7943.0,4801.0,3784.0,4209.0,272.0,459.0,418.0,2654.0,85478.6
sub-fsm96ry,1041.0,765.0,2651.0,1414.0,423.0,2874.0,4210.0,3581.0,1146.0,5399.0,3166.0,3419.0,2363.0,3558.0,791.0,1480.0,1560.0,749.0,1380.0,1734.0,4839.0,1237.0,5454.0,4191.0,1107.0,7010.0,7965.0,6014.0,4688.0,4672.0,289.0,512.0,490.0,2603.0,94773.6
sub-fsm99tc,1247.0,595.0,2315.0,1748.0,588.0,3503.0,4834.0,3433.0,1039.0,5712.0,2970.0,3281.0,2369.0,3440.0,653.0,1576.0,1906.0,804.0,1716.0,1342.0,4000.0,1056.0,5265.0,3719.0,1163.0,7010.0,9493.0,5488.0,4781.0,5285.0,309.0,536.0,537.0,2805.0,96520.2
